url,price,rooms,area,postal_code,locality,property_type,sub_property_type,facades,building_state,furnished,open_fire,kitchen_type,terrace,terrace_surface,garden,garden_surface,swimming_pool,land_surface
https://www.immoweb.be/fr/annonce/maison/a-vendre/westerlo/2260/20829481,335000,3,251,2260,Westerlo,House,Maison,4,,0,,,1,,,,0,1160
https://www.immoweb.be/fr/annonce/appartement/a-vendre/tongerlo-westerlo/2260/20829480,310000,2,93,2260,Tongerlo (westerlo),Apartment,Appartement,2,,0,,,1,,,,0,93
https://www.immoweb.be/fr/annonce/immeuble-a-appartements/a-vendre/seraing-seraing/4100/20829477,299000,2,1055,4100,Seraing (seraing),House,Immeuble à appartements,3,,0,,,,,,,0,2110
https://www.immoweb.be/fr/annonce/penthouse/a-vendre/wenduine/8420/20829476,585000,1,79,8420,Wenduine,Apartment,Penthouse,2,,0,,,1,,,,0,79
https://www.immoweb.be/fr/annonce/maison/a-vendre/charleroi/6010/20829471,340000,3,288,6010,Charleroi,House,Maison,2,Fraîchement rénové,,,Equipée,,,,,0,678
https://www.immoweb.be/fr/annonce/duplex/a-vendre/forest/1190/20829429,435000,3,150,1190,Forest,Apartment,Duplex,3,Excellent état,,,Equipée,,12,,,,150
https://www.immoweb.be/fr/annonce/maison/a-vendre/pajottegem/1570/20829384,449000,3,186,1570,Pajottegem,House,Maison,3,Excellent état,0,,Equipée,,,,,0,504
https://www.immoweb.be/fr/annonce/maison/a-vendre/gimnee/5680/20829382,215000,2,121,5680,Gimnée,House,Maison,4,Fraîchement rénové,,,Semi-équipée,1,,,,,2968
https://www.immoweb.be/fr/annonce/maison/a-vendre/tessenderlo-ham/3945/20829381,699000,5,322,3945,Tessenderlo-ham,House,Maison,4,Excellent état,,,Equipée,1,,,,,1030
https://www.immoweb.be/fr/annonce/villa/a-vendre/wepion/5100/20615757,560000,4,200,5100,Wepion,House,Villa,4,Excellent état,,,Equipée,,,,,0,900
https://www.immoweb.be/fr/annonce/maison/a-vendre/geraardsbergen/9500/20829372,99000,2,62,9500,Geraardsbergen,House,Maison,3,,,,,,,,,,366
https://www.immoweb.be/fr/annonce/penthouse/a-vendre/uccle/1180/20829343,1295000,3,295,1180,Uccle,Apartment,Penthouse,3,Excellent état,0,,Equipée,,,1,125,0,295
https://www.immoweb.be/fr/annonce/maison/a-vendre/halle/1500/20829342,245000,4,,1500,Halle,House,Maison,,Bon,,,Equipée,1,,,,,275
